Event Index,Is Tau
0,[1 0 1]
1,[1 0 1]
2,[0 1 1]
3,[1 0 1]
4,[0 1 1]
5,[1 1 0]
6,[1 0 1]
7,[0 1 1]
8,[0 1 1]
9,[1 0 1]
10,[1 1 0]
11,[1 0 1]
12,[1 0 1]
13,[1 0 1]
14,[0 1 1]
15,[0 1 1]
16,[1 0 1]
17,[1 1 0]
18,[0 1 1]
19,[1 0 1]
20,[1 1 0]
21,[1 1 0]
22,[1 1 0]
23,[1 0 1]
24,[1 1 0]
25,[0 1 1]
26,[0 1 1]
27,[0 1 1]
28,[0 1 1]
29,[1 0 1]
30,[0 1 1]
31,[1 0 1]
32,[0 1 1]
33,[1 1 0]
34,[1 1 0]
35,[1 0 1]
36,[0 1 1]
37,[1 0 1]
38,[0 0 1 1]
39,[0 1 1]
40,[0 1 0 1]
41,[1 0 1]
42,[1 0 1]
43,[0 1 1]
44,[1 0 1]
45,[1 1 0]
46,[0 1 1]
47,[1 1 0 0]
48,[1 0 1]
49,[0 1 1]
50,[0 1 1]
51,[1 0 1]
52,[1 1 0]
53,[0 1 1 0]
54,[1 0 1]
55,[1 0 1]
56,[1 0 1]
57,[1 0 1]
58,[0 1 1]
59,[1 1 0]
60,[0 1 1]
61,[0 1 1]
62,[1 0 1]
63,[1 0 1]
64,[1 0 0 1]
65,[0 1 1]
66,[0 1 1]
67,[0 1 1]
68,[1 0 1]
69,[1 0 1]
70,[1 0 1]
71,[1 1 0]
72,[0 1 1]
73,[1 0 1 0]
74,[1 1 0]
75,[1 0 0 1]
76,[1 0 1]
77,[1 0 1]
78,[1 1 0]
79,[1 0 1]
80,[0 1 1]
81,[1 0 1]
82,[0 1 1]
83,[0 1 1]
84,[0 1 1]
85,[1 0 1]
86,[1 1 0]
87,[0 1 1]
88,[0 1 1]
89,[1 1 0]
90,[1 0 1]
91,[0 1 1]
92,[1 0 1]
93,[0 1 1]
94,[1 1 0]
95,[1 0 1]
96,[1 0 1]
97,[0 1 1]
98,[1 1 0]
99,[1 1 0]
100,[0 1 1]
101,[0 1 1]
102,[0 1 0 1]
103,[1 1 0]
104,[1 0 1]
105,[1 0 1]
106,[0 1 1]
107,[0 1 1]
108,[1 0 1]
109,[0 1 1]
110,[0 1 0 1]
111,[0 1 1]
112,[1 1 0]
113,[1 0 1]
114,[0 1 1]
115,[0 1 1 0]
116,[0 1 0 1]
117,[0 1 1]
118,[1 0 1]
119,[1 1 0]
120,[0 1 1]
121,[1 0 1]
122,[1 1 0]
123,[1 1 0]
124,[1 0 1]
125,[0 1 1]
126,[0 1 1]
127,[1 0 1]
128,[0 1 1]
129,[1 0 1]
130,[1 1 0]
131,[1 0 1]
132,[1 0 1]
133,[1 1 0]
134,[0 1 1]
135,[1 1 0 0]
136,[0 1 1]
137,[0 1 1]
138,[1 1 0 0]
139,[1 0 1]
140,[1 1 0]
141,[1 1 0]
142,[0 1 1]
143,[0 1 1]
144,[0 1 1]
145,[1 0 1]
146,[0 1 1]
147,[1 0 1]
