Event Index,Is Tau
0,[1 0 1]
1,[1 1 0]
2,[1 1 0]
3,[1 0 0 0 1]
4,[0 1 1]
5,[0 1 1]
6,[0 1 1]
7,[1 1 0]
8,[0 1 1]
9,[1 0 1]
10,[1 0 1 0]
11,[1 0 1]
12,[1 0 1]
13,[0 1 1]
14,[1 0 1 0]
15,[0 1 1]
16,[0 1 1]
17,[1 1 0]
18,[1 1 0]
19,[0 1 1 0 0]
20,[1 1 0]
21,[1 0 1]
22,[1 0 1]
23,[1 0 1]
24,[1 1 0]
25,[1 1 0]
26,[0 1 1]
27,[1 1 0]
28,[1 1 0]
29,[1 1 0]
30,[1 1 0]
31,[0 1 1]
32,[0 1 1]
33,[0 1 0 1 0]
34,[1 0 1]
35,[0 1 1 0 1 0]
36,[0 1 1]
37,[1 1 0]
38,[0 1 1]
39,[1 0 1]
40,[1 0 1]
41,[0 1 1]
42,[1 0 1]
43,[0 1 1]
44,[1 0 1 0]
45,[0 1 1]
46,[1 0 1]
47,[1 1 0]
48,[0 0 1 1]
49,[0 0 1 1]
50,[1 1 0]
51,[0 1 1]
52,[1 1 0]
53,[1 1 0]
54,[1 0 1]
55,[1 0 1]
56,[1 0 1]
57,[1 0 1]
58,[0 1 1]
59,[1 0 1]
60,[0 1 1]
61,[0 1 1]
62,[1 1 0]
63,[1 1 0]
64,[0 1 1]
65,[1 1 0]
66,[1 1 0]
67,[0 1 1]
68,[0 1 1]
69,[0 1 1]
70,[1 1 0]
71,[0 1 1]
72,[0 1 1]
73,[1 0 1]
74,[1 0 1]
75,[1 1 0]
76,[0 1 1]
77,[1 1 0]
78,[1 0 1]
79,[1 1 0]
80,[1 0 1]
81,[1 0 1]
82,[0 0 1 1]
83,[1 1 0]
84,[0 1 1]
85,[0 1 1]
86,[1 0 1]
87,[1 1 0]
88,[1 0 1]
89,[1 1 0]
90,[1 1 0]
91,[0 1 1]
92,[0 0 1 1]
93,[1 0 1]
94,[0 1 1]
95,[1 0 0 1]
96,[0 1 1]
97,[1 1 0]
98,[1 1 0 0]
99,[1 1 0]
100,[1 0 1]
101,[1 0 1]
102,[1 0 0 1]
103,[1 0 1]
104,[0 1 1]
105,[1 0 1]
106,[1 0 0 1]
107,[1 0 1]
108,[1 0 1]
109,[1 0 1]
110,[1 1 0]
111,[1 1 0]
112,[0 1 1]
113,[1 0 1]
114,[1 1 0]
115,[0 0 1 1]
116,[0 1 1]
117,[1 1 0]
118,[1 0 1]
119,[1 1 0]
120,[1 1 0]
121,[1 1 0]
122,[0 1 1]
123,[1 0 1]
124,[1 1 0]
125,[1 0 1]
126,[1 0 0 1]
127,[0 1 1]
128,[0 1 1 0]
129,[1 0 1]
130,[1 0 1]
131,[0 1 1]
132,[0 1 1]
133,[1 1 0]
134,[1 0 1]
135,[0 1 1]
136,[0 1 1]
137,[0 1 1]
138,[1 1 0]
139,[1 0 0 1 0]
140,[1 0 1]
141,[1 1 0]
142,[1 1 0]
143,[0 1 1]
144,[1 1 0 0]
145,[1 0 1]
146,[1 0 1]
147,[0 1 1]
148,[1 0 1]
149,[1 1 0]
150,[0 1 1]
151,[1 1 0]
152,[1 0 1]
153,[1 1 0]
154,[0 1 1]
155,[0 1 1]
156,[1 1 0]
157,[1 0 1]
158,[1 0 1]
159,[0 1 1]
160,[1 1 0]
161,[1 0 1]
162,[1 0 0 1]
163,[0 1 1]
164,[1 0 1]
165,[1 1 0 0]
166,[0 1 1]
167,[1 0 1]
168,[1 1 0]
169,[0 1 1]
170,[1 0 1]
171,[0 1 1]
172,[0 1 1]
173,[0 1 1]
174,[1 1 0]
175,[0 1 0 1]
176,[0 1 1]
177,[1 0 1]
178,[1 1 0]
179,[0 1 0 1]
180,[1 0 1]
181,[1 1 0]
182,[1 0 1]
183,[1 0 1]
184,[1 1 0]
185,[1 1 0 0]
186,[0 1 1]
187,[1 0 1 0]
188,[1 1 0]
189,[1 1 0]
190,[1 0 1]
191,[1 0 1]
192,[1 0 1]
193,[0 1 1]
194,[0 1 1]
195,[1 0 1]
196,[1 0 1]
197,[1 1 0]
198,[1 1 0]
199,[0 1 1]
200,[1 0 1]
201,[1 0 1]
202,[0 1 1 0]
203,[0 1 1]
204,[0 1 1]
205,[0 1 1]
206,[0 1 1]
207,[0 1 1]
208,[0 1 1]
209,[0 1 1]
210,[0 1 1]
211,[1 1 0]
212,[1 0 1]
213,[0 1 1]
214,[1 0 1]
215,[0 1 1]
216,[1 1 0]
217,[1 0 1]
218,[0 1 1]
219,[1 0 1]
220,[1 0 0 1]
221,[1 0 1]
222,[0 1 1]
223,[1 0 1]
224,[1 1 0]
225,[0 1 0 1]
226,[1 0 1]
227,[0 1 1]
228,[0 1 1]
229,[1 1 0]
230,[0 1 1]
231,[0 1 1]
232,[1 0 1]
233,[0 1 1]
234,[1 1 0]
235,[1 1 0]
236,[1 1 0]
237,[0 1 0 1]
238,[0 1 1]
239,[1 0 1]
240,[1 1 0]
241,[1 1 0]
242,[1 1 0 0]
243,[1 1 0]
244,[0 1 1]
245,[0 1 1]
246,[1 0 1]
247,[0 1 1]
248,[1 0 1]
249,[0 1 1]
250,[0 1 1]
251,[1 0 1]
252,[0 1 1]
253,[1 1 0]
254,[1 0 1]
255,[1 1 0]
256,[0 1 1]
257,[0 1 1]
258,[0 1 1]
259,[1 1 0]
260,[0 1 1]
261,[0 1 1]
262,[1 0 1]
263,[0 1 1]
264,[1 0 1]
265,[1 0 1]
266,[1 0 1]
267,[0 1 1]
268,[1 1 0]
269,[1 1 0]
270,[1 1 0]
271,[0 1 1 0]
272,[1 0 1]
273,[1 0 1]
274,[1 1 0 0]
275,[0 1 1 0]
276,[0 1 1 0]
277,[1 1 0]
278,[1 1 0]
279,[1 0 1 0]
280,[1 1 0]
281,[0 1 1]
282,[1 0 1]
283,[1 1 0]
284,[0 1 1]
285,[1 0 1]
286,[0 1 1]
287,[1 1 0]
288,[1 0 1]
289,[1 1 0]
290,[1 0 1]
291,[1 0 1]
292,[1 1 0]
293,[1 0 1 0]
294,[1 1 0 0]
295,[0 0 1 1]
296,[0 1 1]
297,[1 0 1]
298,[1 0 1]
299,[0 1 1]
Accuracy,0.5428571428571428
Time,7.966min
