Jet Index,Is Tau
0,[1 1 0]
1,[1 0 1]
2,[1 0 1]
3,[0 1 1 0 0]
4,[1 1 0]
5,[0 1 1]
6,[1 1 0]
7,[1 0 1]
8,[1 0 1]
9,[1 1 0]
10,[1 0 0 1]
11,[0 1 1]
12,[1 1 0]
13,[1 1 0]
14,[0 1 1 0]
15,[1 0 1]
16,[1 1 0]
17,[0 1 1]
18,[1 1 0]
19,[1 0 1 0 0]
20,[1 1 0]
21,[1 1 0]
22,[1 1 0]
23,[0 1 1]
24,[1 1 0]
25,[1 1 0]
26,[1 1 0]
27,[1 1 0]
28,[1 1 0]
29,[1 0 1]
30,[1 0 1]
31,[1 1 0]
32,[0 1 1]
33,[0 1 0 1 0]
34,[1 1 0]
35,[0 1 0 0 1 1]
36,[1 1 0]
37,[1 1 0]
38,[1 1 0]
39,[0 1 1]
40,[1 1 0]
41,[0 1 1]
42,[0 1 1]
43,[0 1 1]
44,[1 0 1 0]
45,[1 0 1]
46,[1 1 0]
47,[1 1 0]
48,[0 0 1 1]
49,[0 1 0 1]
50,[1 0 1]
51,[0 1 1]
52,[0 1 1]
53,[1 0 1]
54,[1 1 0]
55,[1 1 0]
56,[1 0 1]
57,[1 0 1]
58,[1 1 0]
59,[1 1 0]
60,[1 0 1]
61,[1 0 1]
62,[0 1 1]
63,[1 0 1]
64,[0 1 1]
65,[1 1 0]
66,[0 1 1]
67,[1 0 1]
68,[1 0 1]
69,[1 1 0]
70,[1 0 1]
71,[1 1 0]
72,[1 0 1]
73,[0 1 1]
74,[1 0 1]
75,[0 1 1]
76,[0 1 1]
77,[1 0 1]
78,[0 1 1]
79,[1 1 0]
80,[1 1 0]
81,[1 1 0]
82,[1 0 1 0]
83,[1 1 0]
84,[1 0 1]
85,[1 1 0]
86,[1 1 0]
87,[0 1 1]
88,[1 0 1]
89,[1 0 1]
90,[1 1 0]
91,[1 0 1]
92,[1 0 0 1]
93,[0 1 1]
94,[0 1 1]
95,[0 0 1 1]
96,[1 0 1]
97,[1 0 1]
98,[1 0 1 0]
99,[0 1 1]
100,[1 0 1]
101,[1 0 1]
102,[0 1 0 1]
103,[0 1 1]
104,[0 1 1]
105,[1 1 0]
106,[0 0 1 1]
107,[1 0 1]
108,[0 1 1]
109,[0 1 1]
110,[0 1 1]
111,[1 0 1]
112,[1 0 1]
113,[1 1 0]
114,[1 0 1]
115,[1 0 1 0]
116,[1 0 1]
117,[1 1 0]
118,[1 0 1]
119,[0 1 1]
120,[1 0 1]
121,[1 1 0]
122,[0 1 1]
123,[1 0 1]
124,[1 1 0]
125,[0 1 1]
126,[0 1 1 0]
127,[1 0 1]
128,[1 1 0 0]
129,[0 1 1]
130,[0 1 1]
131,[1 0 1]
132,[0 1 1]
133,[1 0 1]
134,[0 1 1]
135,[0 1 1]
136,[1 1 0]
137,[1 0 1]
138,[0 1 1]
139,[0 0 1 0 1]
140,[1 0 1]
141,[1 1 0]
142,[1 1 0]
143,[0 1 1]
144,[0 0 1 1]
145,[1 1 0]
146,[0 1 1]
147,[1 0 1]
148,[1 1 0]
149,[1 1 0]
150,[1 0 1]
151,[0 1 1]
152,[1 1 0]
153,[0 1 1]
154,[1 0 1]
155,[1 1 0]
156,[1 0 1]
157,[1 0 1]
158,[0 1 1]
159,[1 0 1]
160,[0 1 1]
161,[0 1 1]
162,[1 0 0 1]
163,[1 1 0]
164,[1 1 0]
165,[1 0 1 0]
166,[1 1 0]
167,[1 1 0]
168,[1 0 1]
169,[1 1 0]
170,[1 1 0]
171,[1 0 1]
172,[1 0 1]
173,[1 0 1]
174,[0 1 1]
175,[0 0 1 1]
176,[1 0 1]
177,[0 1 1]
178,[1 0 1]
179,[1 0 1 0]
180,[1 0 1]
181,[1 1 0]
182,[1 1 0]
183,[0 1 1]
184,[1 1 0]
185,[1 0 1 0]
186,[1 0 1]
187,[1 1 0 0]
188,[1 0 1]
189,[0 1 1]
190,[1 0 1]
191,[0 1 1]
192,[0 1 1]
193,[1 0 1]
194,[1 1 0]
195,[1 1 0]
196,[0 1 1]
197,[1 0 1]
198,[1 1 0]
199,[1 0 1]
200,[0 1 1]
201,[1 1 0]
202,[1 1 0 0]
203,[1 1 0]
204,[0 1 1]
205,[1 0 1]
206,[1 0 1]
207,[0 1 1]
208,[1 1 0]
209,[1 1 0]
210,[0 1 1]
211,[0 1 1]
212,[1 1 0]
213,[0 1 1]
214,[0 1 1]
215,[0 1 1]
216,[1 1 0]
217,[1 1 0]
218,[1 0 1]
219,[0 1 1]
220,[0 1 0 1]
221,[0 1 1]
222,[1 1 0]
223,[0 1 1]
224,[0 1 1]
225,[0 1 1 0]
226,[0 1 1]
227,[1 0 1]
228,[1 1 0]
229,[1 1 0]
230,[1 1 0]
231,[1 1 0]
232,[1 0 1]
233,[0 1 1]
234,[1 0 1]
235,[1 0 1]
236,[1 0 1]
237,[0 1 1 0]
238,[1 0 1]
239,[0 1 1]
240,[1 1 0]
241,[0 1 1]
242,[0 1 0 1]
243,[1 0 1]
244,[1 1 0]
245,[1 1 0]
246,[1 0 1]
247,[1 1 0]
248,[1 1 0]
249,[1 0 1]
250,[1 1 0]
251,[0 1 1]
252,[1 0 1]
